FechaProgramacion,Fabrica,Seccion,Linea,Equipo,TiempoPNP
21/12/2019,Envases,Envasado Evaporada,Linea Baby 4,ROBOT PALETIZADOR KUKA,294
21/12/2019,Envases,Envasado Evaporada,Linea Baby 4,ETIQUETADORA,294
21/12/2019,Envases,Envasado Evaporada,Linea Baby 4,ESPIRAL INGRESO ETIQUETADORA,294
21/12/2019,Envases,Envasado Evaporada,Linea Baby 4,ENGOMADORA - PRENSA,294
21/12/2019,Envases,Envasado Evaporada,Linea Baby 4,ENFRIADOR,294
21/12/2019,Envases,Envasado Evaporada,Linea Baby 4,EMBALADORA NON SHOCK,294
21/12/2019,Envases,Envasado Evaporada,Linea Baby 4,ELEVADOR SALIDA CERRADORA,294
21/12/2019,Envases,Envasado Evaporada,Linea Baby 4,ELEVADOR PALETAS,294
21/12/2019,Envases,Envasado Evaporada,Linea Baby 4,CERRADORA,294
21/12/2019,Envases,Envasado Evaporada,Linea Baby 4,TRANSP SALIDA ENFRIADOR,294
21/12/2019,Envases,Envasado Evaporada,Linea Baby 4,ROBOT PALETIZADOR KUKA,294
21/12/2019,Envases,Envasado Evaporada,Linea Baby 4,ELEVADOR PALETAS,294
21/12/2019,Envases,Envasado Evaporada,Linea Baby 4,CERRADORA,294
21/12/2019,Envases,Envasado Evaporada,Linea Baby 4,TRANSP CABLE ELEVADO CERRADORA,294
21/12/2019,Envases,Envasado Evaporada,Linea Baby 4,TABLERO AUTOMATISMO EMBAL-ETIQ,294
21/12/2019,Envases,Envasado Evaporada,Linea Baby 4,SOPLADOR DE ENVASES LLENADORA,294
21/12/2019,Envases,Envasado Evaporada,Linea Baby 4,ESTERILIZADOR,294
21/12/2019,Envases,Envasado Evaporada,Linea Baby 4,ELEVADOR SALIDA ENFRIADOR,294
21/12/2019,Envases,Envasado Evaporada,Linea Baby 4,DETECTOR RAYOS X INSCAN100,294
21/12/2019,Envases,Envasado Evaporada,Linea Baby 4,CODIFICADOR DE CAJAS MARSH,294
21/12/2019,Envases,Envasado Evaporada,Linea Baby 4,BBA DE RECUPERO LLENADORA,294
21/12/2019,Envases,Envasado Evaporada,Linea Baby 4,TRANSP SALIDA CERRADORA,294
21/12/2019,Envases,Envasado Evaporada,Linea Baby 4,TRANSP RODILLO PALETAS,294
21/12/2019,Envases,Envasado Evaporada,Linea Baby 4,TRANSP CABLE ELEVADO CERRADORA,294
21/12/2019,Envases,Envasado Evaporada,Linea Baby 4,TABLERO AUTOMATISMO EMBAL-ETIQ,294
21/12/2019,Envases,Envasado Evaporada,Linea Baby 4,PRECALENTADOR,294
21/12/2019,Envases,Envasado Evaporada,Linea Baby 4,LLENADORA,294
21/12/2019,Envases,Envasado Evaporada,Linea Baby 4,ESTERILIZADOR,294
21/12/2019,Envases,Envasado Evaporada,Linea Baby 4,CODIFICADOR DE ENVASE LLENO,294
21/12/2019,Envases,Envasado Evaporada,Linea Baby 4,BBA DE RECUPERO LLENADORA,294
21/12/2019,Envases,Envasado Evaporada,Linea Baby 4,TRANSP RODILLO PALETAS,294
21/12/2019,Envases,Envasado Evaporada,Linea Baby 4,TABLERO AUTOMATISMO LLEN-CERRADORA,294
21/12/2019,Envases,Envasado Evaporada,Linea Baby 4,PALETIZADOR WALLON,294
21/12/2019,Envases,Envasado Evaporada,Linea Baby 4,ELEVADOR SALIDA PALETIZADOR WALLON,294
21/12/2019,Envases,Envasado Evaporada,Linea Baby 4,CODIFICADOR DE ENVASE LLENO,294
21/12/2019,Envases,Envasado Evaporada,Linea Baby 4,TRANSP CABLE ELEVADO ENFRIADOR,294
21/12/2019,Envases,Envasado Evaporada,Linea Baby 4,TABLERO AUTOMATISMO LLEN-CERRADORA,294
21/12/2019,Envases,Envasado Evaporada,Linea Baby 4,TABLERO AUTOMATISMO ESTERILIZADOR,294
21/12/2019,Envases,Envasado Evaporada,Linea Baby 4,PALETIZADOR WALLON,294
21/12/2019,Envases,Envasado Evaporada,Linea Baby 4,ETIQUETADORA,294
21/12/2019,Envases,Envasado Evaporada,Linea Baby 4,ESPIRAL INGRESO ETIQUETADORA,294
21/12/2019,Envases,Envasado Evaporada,Linea Baby 4,EMBALADORA NON SHOCK,294
21/12/2019,Envases,Envasado Evaporada,Linea Baby 4,ELEVADOR SALIDA PALETIZADOR WALLON,294
21/12/2019,Envases,Envasado Evaporada,Linea Baby 4,ELEVADOR SALIDA ENFRIADOR,294
21/12/2019,Envases,Envasado Evaporada,Linea Baby 4,DETECTOR RAYOS X INSCAN100,294
21/12/2019,Envases,Envasado Evaporada,Linea Baby 4,CODIFICADOR DE CAJAS MARSH,294
21/12/2019,Envases,Envasado Evaporada,Linea Baby 4,TRANSP CABLE ELEVADO ENFRIADOR,115
21/12/2019,Envases,Envasado Evaporada,Linea Baby 4,TABLERO AUTOMATISMO LLEN-CERRADORA,115
21/12/2019,Envases,Envasado Evaporada,Linea Baby 4,PALETIZADOR WALLON,115
21/12/2019,Envases,Envasado Evaporada,Linea Baby 4,ETIQUETADORA,115
21/12/2019,Envases,Envasado Evaporada,Linea Baby 4,ESPIRAL INGRESO ETIQUETADORA,115
21/12/2019,Envases,Envasado Evaporada,Linea Baby 4,EMBALADORA NON SHOCK,115
21/12/2019,Envases,Envasado Evaporada,Linea Baby 4,ELEVADOR SALIDA PALETIZADOR WALLON,115
21/12/2019,Envases,Envasado Evaporada,Linea Baby 4,ELEVADOR SALIDA ENFRIADOR,115
21/12/2019,Envases,Envasado Evaporada,Linea Baby 4,CODIFICADOR DE CAJAS MARSH,115
21/12/2019,Envases,Envasado Evaporada,Linea Baby 4,VAC TRAC ENFRIADOR,115
21/12/2019,Envases,Envasado Evaporada,Linea Baby 4,TRANSP SALIDA EMBALADORA,115
21/12/2019,Envases,Envasado Evaporada,Linea Baby 4,TRANSP MASS CONVEYOR,115
21/12/2019,Envases,Envasado Evaporada,Linea Baby 4,TRANSP ALIMENTADOR ENVASES VACIO,115
29/6/2018,Envases,Envasado Evaporada,Linea Baby 4,TRANSP ALIMENT CAJAS A PALETIZ,115
29/6/2018,Envases,Envasado Evaporada,Linea Baby 4,SOPLADOR DE ENVASES LLENADORA,115
29/6/2018,Envases,Envasado Evaporada,Linea Baby 4,SOPLADOR DE ENVASES ENFRIADOR,115
29/6/2018,Envases,Envasado Evaporada,Linea Baby 4,Llenado Y Embalado / Baby 4 - FLE,115
29/6/2018,Envases,Envasado Evaporada,Linea Baby 4,ENGOMADORA - PRENSA,115
29/6/2018,Envases,Envasado Evaporada,Linea Baby 4,ENFRIADOR,115
29/6/2018,Envases,Envasado Evaporada,Linea Baby 4,ELEVADOR SALIDA CERRADORA,115
29/6/2018,Envases,Envasado Evaporada,Linea Baby 4,TABLERO AUTOMATISMO ESTERILIZADOR,115
29/6/2018,Envases,Envasado Evaporada,Linea Baby 4,ROBOT PALETIZADOR KUKA,115
29/6/2018,Envases,Envasado Evaporada,Linea Baby 4,ENGOMADORA - PRENSA,115
29/6/2018,Envases,Envasado Evaporada,Linea Baby 4,ELEVADOR PALETAS,115
29/6/2018,Envases,Envasado Evaporada,Linea Baby 4,CERRADORA,115
29/6/2018,Envases,Envasado Evaporada,Linea Baby 4,TRANSP SALIDA CERRADORA,115
29/6/2018,Envases,Envasado Evaporada,Linea Baby 4,TRANSP RODILLO PALETAS,115
29/6/2018,Envases,Envasado Evaporada,Linea Baby 4,TRANSP CABLE ELEVADO CERRADORA,115
29/6/2018,Envases,Envasado Evaporada,Linea Baby 4,TABLERO AUTOMATISMO EMBAL-ETIQ,115
29/6/2018,Envases,Envasado Evaporada,Linea Baby 4,PRECALENTADOR,115
29/6/2018,Envases,Envasado Evaporada,Linea Baby 4,LLENADORA,115
29/6/2018,Envases,Envasado Evaporada,Linea Baby 4,ESTERILIZADOR,115
29/6/2018,Envases,Envasado Evaporada,Linea Baby 4,CODIFICADOR DE ENVASE LLENO,115
29/6/2018,Envases,Envasado Evaporada,Linea Baby 4,BBA DE RECUPERO LLENADORA,115
29/6/2018,Envases,Envasado Evaporada,Linea Baby 4,TRANSP SALIDA CERRADORA,115
29/6/2018,Envases,Envasado Evaporada,Linea Baby 4,TRANSP RODILLO PALETAS,115
29/6/2018,Envases,Envasado Evaporada,Linea Baby 4,TRANSP CABLE ELEVADO CERRADORA,115
29/6/2018,Envases,Envasado Evaporada,Linea Baby 4,TABLERO AUTOMATISMO EMBAL-ETIQ,115
29/6/2018,Envases,Envasado Evaporada,Linea Baby 4,PRECALENTADOR,115
29/6/2018,Envases,Envasado Evaporada,Linea Baby 4,ESTERILIZADOR,115
29/6/2018,Envases,Envasado Evaporada,Linea Baby 4,DETECTOR RAYOS X INSCAN100,115
29/6/2018,Envases,Envasado Evaporada,Linea Baby 4,CODIFICADOR DE ENVASE LLENO,115
25/7/2018,Envases,Envasado Evaporada,Linea Baby 4,BBA DE RECUPERO LLENADORA,115
25/7/2018,Envases,Envasado Evaporada,Linea Baby 4,TRANSP SALIDA ENFRIADOR,115
25/7/2018,Envases,Envasado Evaporada,Linea Baby 4,ROBOT PALETIZADOR KUKA,115
25/7/2018,Envases,Envasado Evaporada,Linea Baby 4,ELEVADOR PALETAS,115
25/7/2018,Envases,Envasado Evaporada,Linea Baby 4,CERRADORA,115
25/7/2018,Envases,Envasado Evaporada,Linea Baby 4,VAC TRAC ENFRIADOR,115
25/7/2018,Envases,Envasado Evaporada,Linea Baby 4,TRANSP SALIDA ENFRIADOR,115
25/7/2018,Envases,Envasado Evaporada,Linea Baby 4,TRANSP SALIDA EMBALADORA,115
25/7/2018,Envases,Envasado Evaporada,Linea Baby 4,TRANSP MASS CONVEYOR,115
25/7/2018,Envases,Envasado Evaporada,Linea Baby 4,TRANSP ALIMENTADOR ENVASES VACIO,115
25/7/2018,Envases,Envasado Evaporada,Linea Baby 4,TRANSP ALIMENT CAJAS A PALETIZ,115
25/7/2018,Envases,Envasado Evaporada,Linea Baby 4,SOPLADOR DE ENVASES LLENADORA,115
25/7/2018,Envases,Envasado Evaporada,Linea Baby 4,SOPLADOR DE ENVASES ENFRIADOR,115
25/7/2018,Envases,Envasado Evaporada,Linea Baby 4,LLENADORA,115
25/7/2018,Envases,Envasado Evaporada,Linea Baby 4,Llenado Y Embalado / Baby 4 - FLE,115
25/7/2018,Envases,Envasado Evaporada,Linea Baby 4,ENFRIADOR,115
25/7/2018,Envases,Envasado Evaporada,Linea Baby 4,ELEVADOR SALIDA CERRADORA,115
25/7/2018,Envases,Envasado Evaporada,Linea Baby 4,TRANSP CABLE ELEVADO ENFRIADOR,115
25/7/2018,Envases,Envasado Evaporada,Linea Baby 4,TABLERO AUTOMATISMO LLEN-CERRADORA,115
